RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
Araruama ;29;11,05;12,3;3,9896;0,9;44.085,00
Bom Jardim ;186;117,6;98;2,2745;1,2;267.480,00
Bom Jesus do Itabapoana ;35;22,5;25;3,352;0,9;75.420,00
Cabo Frio ;7;5,8;6,8;7,0276;0,85;40.760,00
Cachoeiras de Macacu ;22;25,5;12,2;2,1275;2,09;54.250,00
Cantagalo ;4;3;3;4,5;1;13.500,00
Carmo ;15;11;10;3,41;1,1;37.510,00
Casimiro de Abreu ;25;32,4;33;5,1235;0,98;166.000,00
Duas Barras ;40;12,46;11,2;3,2856;1,11;40.938,00
Italva ;42;27,65;26;3,6462;1,06;100.818,00
Itaperuna ;20;13,2;15;3,3636;0,88;44.400,00
Macaé ;3;215;72,59;3,2223;2,96;692.800,00
Macuco ;5;5;3;3,4;1,67;17.000,00
Magé ;8;7,2;7;6;1,03;43.200,00
Natividade ;8;4,8;8;3;0,6;14.400,00
Nova Friburgo ;27;12,14;10,6;3,3696;1,15;40.907,00
Porciúncula ;121;131,5;145;3,3726;0,91;443.500,00
Porto Real ;9;4,1;5;3,5159;0,82;14.415,00
Quissamã ;25;74;56,5;2,2169;1,31;164.050,00
Rio Bonito ;9;7;7;1,7143;1;12.000,00
Rio Claro ;25;64,65;40;5,849;1,62;378.140,00
Rio das Flores ;33;23,5;19,75;3,5226;1,19;82.780,00
Rio das Ostras ;37;9,62;36,6;8,0603;0,26;77.540,00
Santa Maria Madalena ;19;21,52;21,36;5,5674;1,01;119.810,00
Santo Antônio de Pádua ;36;14,6;24;4,2425;0,61;61.940,00
